"Cities, provincies" "2010" "2011" "2012" "2013" "2014" "2015" "2016" "2017" "2018" "2019" "2020"
"Ha Noi" 3614.60 3639.20 3807.90 3893.30 3935.69 4005.20 4006.30 4024.20 4064.80 4118.30 4124.62
"Vinh Phuc" 611.00 617.30 622.30 631.90 652.32 633.60 627.40 625.30 630.50 647.40 634.47
"Bac Ninh" 619.20 600.20 639.60 665.70 684.47 717.70 720.80 735.60 751.60 777.70 774.57
"Quang Ninh" 661.70 683.30 703.90 720.20 718.03 717.70 718.60 728.10 734.70 734.50 693.57
"Hai Duong" 1054.20 1091.50 1088.30 1098.30 1070.83 1073.80 1051.10 1071.70 1067.60 1070.80 1015.05
"Hai Phong" 1066.20 1079.40 1095.30 1128.80 1131.02 1146.60 1137.90 1136.00 1138.20 1111.10 1077.77
"Hung Yen" 694.10 707.80 701.80 724.10 722.47 715.90 715.10 716.10 717.90 726.80 722.01
"Thai Binh" 1113.00 1143.80 1126.20 1119.90 1135.75 1126.80 1119.20 1120.10 1121.30 1133.10 1084.33
"Ha Nam" 480.10 469.00 477.00 480.00 481.60 488.80 488.20 487.40 487.70 486.90 466.97
"Nam Dinh" 1066.20 1072.80 1095.90 1125.10 1127.79 1070.00 1058.50 1051.90 1044.60 1050.10 1025.16
"Ninh Binh" 539.70 557.80 559.80 587.80 588.36 572.30 573.90 576.90 586.20 581.50 563.57
"Ha Giang" 461.70 471.00 465.60 504.90 507.54 493.70 511.80 514.80 532.80 533.00 529.36
"Cao Bang" 337.20 341.00 342.50 357.20 357.17 346.90 349.60 347.80 351.90 348.90 348.99
"Bac Kan" 194.50 199.90 204.50 213.40 216.13 212.40 212.50 208.70 216.50 211.00 205.97
"Tuyen Quang" 443.20 452.50 470.70 478.00 481.86 472.60 471.50 472.30 480.60 489.80 480.50
"Lao Cai" 358.60 378.80 397.10 408.30 416.95 424.00 429.30 433.60 444.20 435.50 432.98
"Yen Bai" 461.40 479.60 479.50 498.90 503.68 503.20 507.60 511.30 519.60 520.40 521.21
"Thai Nguyen" 685.90 684.90 714.80 711.90 730.37 762.20 761.00 763.20 767.20 777.20 769.91
"Lang Son" 467.70 480.50 487.30 499.40 504.49 492.90 491.60 491.60 493.90 500.00 487.72
