"Cities, provincies","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Ha Noi",197469.90,228127.00,268332.90,307745.40,335965.00,375516.30,413035.70,430145.00,458898.30,511407.20,524960.15
"Vinh Phuc",17031.30,21420.50,24310.90,25104.90,28742.50,32110.00,37880.60,39010.70,45502.50,50536.21,52748.05
"Bac Ninh",18701.00,19790.40,23069.80,26247.00,29379.10,34324.30,40809.10,46057.10,51898.90,57518.32,58248.25
"Quang Ninh",25364.60,32003.80,36680.60,43425.40,46780.80,53398.80,63030.20,72123.70,85608.50,100380.89,110482.00
"Hai Duong",13394.00,23427.30,27081.00,30869.70,34298.20,37827.90,41575.10,46814.50,51015.30,54740.50,54805.14
"Hai Phong",38445.60,53967.80,57673.00,62523.50,69431.10,77256.60,80714.50,102002.20,116368.10,132367.06,143528.35
"Hung Yen",10086.00,12556.80,14352.20,16589.30,18464.90,20992.00,22415.50,25237.10,27906.50,31966.53,34407.07
"Thai Binh",13612.80,17733.70,19859.30,22629.90,25504.10,28226.00,29148.70,32848.50,36400.60,40507.62,41888.88
"Ha Nam",7131.70,7419.30,9184.70,10654.80,12252.20,14039.80,15912.30,18723.70,21456.60,24361.67,25549.92
"Nam Dinh",11859.60,14653.40,16972.20,20298.50,23622.40,27039.40,31832.80,35816.20,39105.40,43867.63,46059.62
"Ninh Binh",10598.90,14064.90,15626.50,19058.90,20905.70,23278.50,25401.80,27605.30,32285.60,34697.51,34801.63
"Ha Giang",2497.20,3473.20,4063.30,4751.60,5582.70,6290.40,7117.90,8076.90,9277.30,10607.18,10832.44
"Cao Bang",4007.40,6319.90,6488.20,5342.40,4962.00,5387.60,5460.60,5817.20,6846.80,7512.35,7991.60
"Bac Kan",1832.50,2758.00,3289.50,3458.50,3715.50,4040.20,4106.40,4517.40,5011.80,5598.94,5633.28
"Tuyen Quang",6708.00,8299.80,9328.80,10126.60,10419.20,11530.10,11970.30,13279.10,15074.80,17465.10,18780.87
"Lao Cai",5590.20,6812.30,8052.20,9558.50,11485.60,12668.60,13981.20,15863.20,17834.50,20296.75,20538.25
"Yen Bai",5281.60,6165.20,7553.60,8864.40,10404.00,11364.00,12715.90,14028.50,15871.20,18295.05,19218.69
"Thai Nguyen",8778.10,11579.10,13453.40,15725.80,17544.30,19869.50,23576.90,26506.70,29764.50,33022.92,34786.86
"Lang Son",9318.10,10354.40,10597.20,12438.00,13976.50,14671.00,15468.40,16487.80,18747.40,21025.76,22274.35
"Bac Giang",7316.90,9342.90,11297.60,13220.20,14973.90,19717.10,22539.20,25989.90,29353.80,33155.40,35065.81
"Phu Tho",9841.10,12601.60,14723.20,16919.90,18680.90,20282.10,22019.40,25146.20,28266.30,31901.64,33708.22
"Dien Bien",3198.50,4393.00,4736.20,5787.90,6552.20,6925.90,7788.70,9848.50,10049.70,11156.32,11201.81
"Lai Chau",1539.70,2470.30,2896.30,2985.50,3225.70,3430.50,3657.20,3825.60,4528.00,5014.50,5171.06
"Son La",7543.10,8604.70,10328.20,12343.40,14394.70,15217.60,16710.60,19186.30,20531.10,22854.01,24321.19
"Hoa Binh",5459.70,6715.90,7225.90,7765.40,8848.70,10003.20,10461.70,11402.30,12717.90,13943.11,14409.86
"Thanh Hoa",23699.10,29968.50,37059.60,45715.90,52413.80,61540.30,71126.40,82904.00,94122.50,107025.79,115975.32
"Nghe An",23981.40,28426.30,32644.00,39702.10,42601.90,47674.10,53461.70,59058.30,67655.60,76833.57,80115.95
"Ha Tinh",14427.60,19000.80,21984.50,26751.80,32733.20,37364.70,36523.90,39505.00,42666.60,46733.82,46802.02
"Quang Binh",9306.40,11887.50,13255.50,15057.70,16738.10,18145.00,18933.20,21044.80,24282.30,27694.57,28202.51
"Quang Tri",9724.30,12446.80,15135.60,17209.50,18744.20,20412.10,21667.90,24510.70,26996.40,30017.29,30988.45
"TT-Hue",14611.00,17885.60,21505.90,24409.20,26731.10,28909.60,31043.10,34430.50,37512.10,40732.14,40157.85
"Da Nang",33544.30,41572.20,45351.60,48667.80,55987.00,60850.90,70143.00,71304.60,80269.80,90525.18,85016.94
"Quang Nam",14377.10,18631.10,20780.30,23781.20,28027.60,31567.60,35397.80,35866.30,40172.70,44591.62,40497.83
"Quang Ngai",17262.60,21398.20,25236.70,28485.40,32406.10,35671.10,39446.90,45176.40,48731.10,52725.28,51995.43
"Binh Dinh",23005.00,28708.50,32822.70,36779.40,41033.60,45815.20,51166.80,57181.00,64434.50,73410.60,74929.79
"Phu Yen",9244.50,11487.10,14227.30,17608.20,20076.30,22704.20,24276.10,27937.60,29306.80,31923.83,33198.95
"Khanh Hoa",29982.10,35936.40,41442.40,46266.50,53130.20,61930.20,68999.30,79904.10,84449.20,94251.93,79327.94
"Ninh Thuan",7229.00,8849.40,10604.10,10874.40,12140.80,13609.60,14973.80,16932.20,19285.60,21826.25,22967.77
"Binh Thuan",16631.70,20666.40,24134.00,27843.00,31737.20,36301.10,38934.60,45121.80,50441.30,56470.61,58748.65
"Kon Tum",3674.80,5406.00,6550.40,8496.90,10126.50,11860.20,12903.20,14411.80,16237.80,18480.28,19713.46
"Gia Lai",13656.30,18420.20,21249.90,28663.50,36265.10,40718.80,42290.90,48526.60,56553.10,62056.32,63969.45
"Dak Lak",26681.20,32445.30,38559.00,43608.70,48567.90,52154.50,55778.40,63359.90,65476.20,73043.57,76109.60
"Dak Nong",5140.40,6623.90,7910.80,8968.10,9877.10,10932.10,11065.20,12378.50,13130.30,14605.67,15321.39
"Lam Dong",19829.00,23523.60,28917.50,30323.90,32195.60,33053.60,36921.10,41346.70,47697.50,54717.94,54286.96
"Binh Phuoc",12286.70,16725.30,18755.10,22589.30,25255.00,29765.40,31724.10,36702.00,41963.00,47704.66,47064.23
"Tay Ninh",30349.20,38395.10,41462.20,45716.00,49669.20,54532.80,59097.00,65414.30,71621.60,78445.04,80040.57
"Binh Duong",43815.50,56589.50,73197.70,77487.40,90267.10,105472.40,118538.40,135769.10,156509.60,175772.75,188942.19
"Dong Nai",58045.10,73488.60,86178.70,94368.20,106597.70,122379.30,126730.00,142704.90,153233.20,169447.67,175359.49
