"Cities, provincies","Total 2010","Total 2011","Total 2012","Total 2013","Total 2014","Total 2015","Total 2016","Total 2017","Total 2018","Total 2019","Total 2020"
"Ha Noi",6639.09,6825.82,6991.43,7128.39,7285.53,7433.60,7590.80,7742.20,7914.50,8093.90,8246.54
"Vinh Phuc",1014.83,1029.50,1047.39,1061.50,1076.82,1090.40,1106.10,1123.10,1138.40,1154.80,1171.23
"Bac Ninh",1045.92,1072.38,1104.69,1139.89,1177.06,1218.50,1257.90,1297.80,1337.30,1378.60,1419.13
"Quang Ninh",1163.95,1181.53,1198.39,1209.58,1227.67,1241.60,1261.20,1285.20,1303.90,1324.80,1337.61
"Hai Duong",1722.77,1747.83,1767.83,1779.67,1795.79,1812.80,1832.80,1850.60,1877.70,1896.90,1916.77
"Hai Phong",1862.85,1886.20,1912.94,1932.17,1950.71,1969.50,1985.30,2001.40,2016.40,2033.30,2053.49
"Hung Yen",1139.42,1150.74,1162.91,1175.52,1188.65,1202.00,1215.50,1228.80,1242.40,1255.80,1269.09
"Thai Binh",1790.88,1798.66,1806.48,1815.04,1822.43,1830.30,1838.10,1846.10,1854.10,1862.20,1870.24
"Ha Nam",791.40,795.65,800.81,807.44,815.07,824.30,832.20,839.80,847.10,854.50,861.83
"Nam Dinh",1822.35,1816.81,1811.50,1806.41,1801.54,1796.90,1792.50,1788.20,1784.20,1780.90,1780.33
"Ninh Binh",904.36,911.69,920.99,930.03,939.31,948.50,956.80,965.40,974.70,984.50,993.92
"Ha Giang",737.77,749.54,763.50,778.96,792.47,806.70,820.40,833.70,846.50,858.10,870.24
"Cao Bang",512.54,514.02,515.88,517.85,519.87,522.00,524.20,526.40,528.70,530.90,533.09
"Bac Kan",296.62,298.69,300.80,301.73,302.94,305.60,307.70,309.90,312.00,314.40,316.46
"Tuyen Quang",729.75,733.60,738.53,743.37,749.59,756.20,763.40,770.50,778.30,786.30,792.90
"Lao Cai",626.92,638.15,649.51,661.00,672.64,684.50,696.50,708.60,720.80,733.30,746.36
"Yen Bai",751.29,758.65,765.69,774.58,783.53,793.10,800.30,807.30,814.60,823.00,831.59
"Thai Nguyen",1131.28,1139.44,1149.08,1155.99,1198.17,1230.80,1242.80,1256.10,1273.60,1290.90,1307.87
"Lang Son",736.29,740.91,745.13,748.94,752.59,757.80,763.40,768.70,775.90,782.80,788.71
"Bac Giang",1569.14,1586.02,1607.77,1630.65,1646.86,1667.00,1696.90,1736.80,1777.50,1810.40,1841.62
"Phu Tho",1322.65,1329.34,1340.81,1355.24,1373.67,1392.30,1409.00,1430.50,1449.60,1466.40,1481.88
"Dien Bien",501.75,512.80,523.88,534.97,546.06,557.10,568.30,579.40,590.50,601.70,613.48
"Lai Chau",381.20,392.88,402.95,414.55,421.46,427.90,436.30,444.50,453.40,462.60,469.81
"Son La",1097.52,1115.21,1129.87,1143.91,1159.74,1177.40,1194.90,1213.40,1233.10,1252.70,1270.56
"Hoa Binh",794.22,802.18,808.43,812.75,819.62,828.60,837.00,845.00,850.40,855.80,861.22
"Thanh Hoa",3415.79,3427.59,3449.44,3484.77,3507.09,3537.00,3570.80,3603.70,3631.30,3645.80,3664.94
"Nghe An",2954.73,2996.14,3035.99,3076.38,3116.33,3160.60,3203.10,3246.70,3291.40,3337.20,3365.20
