Province,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Ha Noi,"557,4","1106,3","1345,9","1074,6","23824,7","1126,9","3390,0","3059,1","7547,8","8669,7","3867,2"
Vinh Phuc,"248,1","40,3 ","143,1","242,1","3181,7","379,6","396,1","202,0","475,1","586,2","595,6"
Bac Ninh,"285,3","609,4 ","1161,0","1607,0","7668,6","3663,0","924,9","3623,7","1150,7","1695,2","881,4"
Quang Ninh,"2213,7","47,9 ","391,4","124,8","5237,3","438,9","591,1","59,7","398,1","242,1","512,0"
Hai Duong,"166,4","2555,8 ","139,8","682,5","6539,3","407,2","470,7","353,6","639,5","691,4","562,8"
Hai Phong,"61,2","896,8 ","1165,0","2614,5","11281,2","902,7","3043,2","948,9","3135,4","1374,0","1587,1"
Hung Yen,"186,8","474,4 ","343,9","135,4 ","2837,5","329,6","403,2","811,8","487,3","488,2","500,3"
Thai Binh,"31,3","27,4 ","3,5","23,2","339,9","49,6","62,0","105,8","56,1","67,5","139,8"
Ha Nam,"33,5","199,9","99,8","139,6","944,2","355,3","727,2","297,7","453,6","864,2","732,1"
Nam Dinh,"14,1","26,6 ","51,0","8,9","406,3","115,7","331,4","2318,7","272,6","267,7","100,4"
Ninh Binh,"32,7","46,1 ","208,9","78,6","1089,8","43,5","99,2","225,6","217,2","149,5","115,7"
Ha Giang ,"0,8 ","3,4 ",,,"13,3",,"11,1","5,0","0,6","0,5",
Cao Bang,,,"8,5","15,6","50,2",,"15,0","8,2",,"0,2","0,1"
Bac Kan,"0,3",,,,"17,9","0,3",,,"0,1","4,4",
Tuyen Quang,"4,0","4,0","1,9","2,2","124,9","5,4","44,7","2,8","26,6","20,0","15,8"
Lao Cai,"326,3","28,8 ","4,8","37,2","876,7",,"27,3","18,1","0,8","0,9","7,7"
Yen Bai,"0,0","28,9 ","64,9","18,1","139,7","78,7","2,9","238,1","8,2","0,3","9,8"
Thai Nguyen,"11,6","8,8 ","26,6","3407,2","6910,3","226,1","206,0","106,6","445,5","616,0","426,2"
Lang Son ,"75,3","0,4 ","4,8","0,3","192,8",,"9,6","3,4","13,9","1,4",
Bac Giang,"163,1","281,3","1007,2","164,3","2151,5","447,5","1028,5","856,4","544,7","1163,3","931,1"
Phu Tho,"25,4","29,3 ","27,9","9,9","522,6","95,0","205,3","230,5","165,3","348,4","290,8"
Dien Bien,,,,,,,,"5,8",,"1,2","0,1"
Lai Chau,"0,0",,,,"4,0",,,,,"0,1",
Son La,,"2,8 ",,"49,2","280,2",,,"15,1","2,1","0,4","0,9"
Hoa Binh,"37,5","108,5","183,9","8,0","458,0","3,0","9,2","38,7","215,2","-1,0","24,4"
Thanh Hoa,"73,1 ","50,1","64,0","2924,2","10276,0","44,0","235,7","3171,7","364,7","350,4","367,1"
Nghe An,"1336,2 ","13,3","40,0","23,1 ","1580,5","206,3","75,4","123,5","25,7","315,1","169,4"
Ha Tinh,"1336,2","129,1","2148,8","49,6","10653,9","162,2","383,8","118,0","132,8","32,6","15,6"
Quang Binh,,,,"0,1","94,1","16,6","-7,4","120,9","31,7","0,8","284,3"
Quang Tri,,"4,9 ",,"12,5","84,7","0,9","4,0","4,0","0,7","20,0","20,2"
TT-Hue,"75,3","40,6","25,3","79,7","2305,5","140,5","78,5","6,7","1263,9","324,5","42,2"
Da Nang,"98,9","477,8","239,0","149,7","3736,2","44,3","107,8","143,9","318,4","515,2","217,8"
Quang Nam,"4177,1","153,0","7,7","25,1","5091,6","256,2","152,6","140,1","479,8","184,2","-33,5"
Quang Ngai,"369,4","14,0 ","135,6","89,6","4070,7","24,1","22,0","374,6","375,4","136,6","131,6"
Binh Dinh,"150,0","82,1 ","34,4","1030,0","1750,3","58,4","90,0","149,6","157,2","96,6","47,0"
Phu Yen,"14,0","26,7","8,8","0,6","4857,3","40,0","562,4","2,6","15,6","216,6","0,4"
Khanh Hoa,"32,1 ","19,6 ","212,3","6,0","2286,5","55,7","69,6","2626,4","95,3","202,3","77,0"
Ninh Thuan,"65,4","333,0 ","84,7","42,5","906,1","0,6","88,3","266,1","404,7","133,7","-98,4"
Binh Thuan,"524,6","28,1","48,1","2032,3","3521,8","90,8","12,5","30,4","20,1","180,9","100,6"
Kon Tum,,,,"0,1","70,3",,"13,9","1,1","11,0","5,7","0,3"
Gia Lai ,"0,3",,"7,7",,"80,3",,"-2,9",,,,"8,6"
Dak Lak,"67,0",,"44,7",,"150,2","30,8","0,2","60,2","29,5","2,6","4,1"
Dak Nong,"3,1","9,0",,,"19,7",,"-0,9","23,6","48,8","7,8","149,8"
Lam Dong,"24,1 ","3,4","38,2","6,2","499,5","10,1","51,7","72,6","10,5","26,8","18,8"
Binh Phuoc,"164,5","86,9 ","95,3","112,6","956,2","260,3","123,4","510,8","487,0","465,9","452,9"
Tay Ninh,"133,6","538,3 ","209,2","184,8","2754,8","540,6","720,1","1017,7","837,0","1263,5","548,3"
Binh Duong,"730,4","1006,2","2798,4","1070,0","20086,4","3128,6","2550,4","2835,3","2395,7","3508,6","1891,6"
Dong Nai,"544,1","850,9","1133,9","1163,5 ","21645,4","1805,1","2562,3","1797,1","1481,1","2178,8","1738,6"
BRVT,"2558,0 ","954,6","487,0","199,9","26810,2","759,7","724,7","504,4","2299,9","1085,4","2258,4"
HCMC,"2118,0","3144,6","1340,0","1983,1","38275,8","4100,2","3896,9","6745,4","6237,6","8338,2","5221,2"
Long An,"628,8","135,6","180,6","220,3","4231,1","651,9","934,6","580,3","707,7","831,9","873,3"
Tien Giang,"160,8","379,2","240,7","217,9","1439,4","92,1","426,4","150,1","247,0","396,4","167,2"
Ben Tre,"38,7 ","19,6","84,4","65,2 ","404,7","173,6","219,0","246,0","403,5","64,8","564,3"
