"Category","An Giang","Bac Giang","Bac Kan","Cao Bang","Bac Lieu","Dien Bien","Ha Giang","Bac Ninh","Ben Tre","Hoa Binh","Binh Dinh","Lai Chau","Binh Duong","Lang Son","Binh Phuoc","Lao Cai","Binh Thuan","Phu Tho","BRVT","Son La","Ca Mau","Thai Nguyen","Can Tho","Tuyen Quang","Yen Bai","Da Nang","Dak Lak","Dak Nong","Dong Nai","Dong Thap","Gia Lai","Ha Nam","Ha Noi","Ha Tinh","Hai Duong","Hai Phong","Hau Giang","HCMC","Hung Yen","Khanh Hoa","Kien Giang","Kon Tum","Lam Dong","Long An","Nam Dinh","Nghe An","Ninh Binh","Ninh Thuan","Phu Yen","Quang Binh","Quang Nam","Quang Ngai","Quang Ninh","Quang Tri","Soc Trang","Tay Ninh","Thai Binh","Thanh Hoa","Tien Giang","Tra Vinh","TT-Hue","Vinh Long","Vinh Phuc"
2006,6.37,6.01,4.34,4.83,6.91,5.72,6.19,6.06,6.2,6.57,6.86,3.84,6.21,4.39,6.82,5.93,5.92,6.5,5.38,5.94,5.74,5.66,6.7,5.13,6.32,4.7,5.95,4.82,6.27,6.38,6.16,5.58,4.19,5.93,6.15,4.48,6.01,5.07,6.91,5.3,7.72,4.95,6.97,7.07,5.71,5.56,5.92,6.66,7.03,6.07,5.55,5.99,6.31,5.67,7.98,6.26,5.46,5.95,6.43,6.35,4.99,6.8,6.3
2007,6.63,6.46,5.26,5.24,6.44,6.21,6.57,7.16,7.23,6.72,6.47,5,7.02,5.47,7.16,6.27,5.89,7.02,5.5,7.63,6.05,6.28,6.49,5.6,6.7,5.84,6.01,5.29,6.61,7.06,5.93,6.94,4.32,6.01,5.84,5.33,7.17,5.89,6.85,5.32,6.59,6.02,5.96,7.71,6.24,5.83,5.78,6.46,6.82,6.11,5.9,5.97,6.06,6.41,6.78,6.78,6.07,6.49,7.1,7.15,5.53,6.67,6.75
2008,7.33,5.98,6.61,6.22,7.47,6.11,6.37,7.38,7.38,6.68,7.21,6.54,7.74,5.53,7.54,7.14,7.19,6.91,6.51,7.13,7.12,5.65,6.92,5.5,6.7,5.52,6.22,6.03,6.45,8.05,6.29,6.92,4.73,6.55,6.91,5.43,7.21,5.36,7.65,5.88,6.79,6.83,6.56,7.59,6.8,5.51,6.47,6.9,6.95,6.13,6.41,5.6,6.74,5.81,8.01,7.17,7.16,6.67,6.64,8.01,5.18,7.35,6.47
2009,8.35,4.28,6.09,5.05,7.37,7.77,6.48,6.46,7.11,5.74,7.17,5.69,7.48,6.93,6.43,7.18,6.4,5.86,5.81,6.11,8.42,6.18,5.37,4.79,6.58,6.61,6.31,5.31,5.05,6.58,6.19,6.42,5.2,7.09,6.04,4.78,7.29,4.92,7.03,5.24,8.11,7.07,6.49,6.67,5.96,4.97,6.6,6.78,6.7,6.76,6.34,6.14,4.76,5.95,7.94,6.62,5.59,6.79,8.84,7.8,5.88,7.61,6.93
2010,7.64,4.8,6.33,4.51,7.63,6.73,5.5,5.42,7.3,7.22,6.26,4.15,7.16,4.2,6.85,7.46,6.11,4.34,5.52,6.65,6.05,6.25,5.53,5.19,6.61,5.07,6.5,5.71,5.66,7.37,6.96,5.37,3.04,6.66,5.94,3.83,8.35,4.04,6.14,5.03,7.24,7.51,4.15,7.46,6.98,4.46,5.57,5.8,6.2,5.62,5.38,4.62,5.19,6.4,6.91,7.82,6.08,6.34,7.48,8.65,4.33,6.62,6.02
2011,6.25,6.55,5.98,6.15,7.46,7.68,5.75,7.12,7,6.14,6.27,7.02,6.84,6.51,7.62,7.54,6.47,5.6,6.73,7.02,7.12,4.91,5.47,4.44,7.71,6.11,5.61,7.51,6.7,7.04,5.98,6.24,4.94,7.89,6.06,4.48,6.62,6.12,6.83,5.32,6.19,6.81,6.25,8.37,6.03,5.65,7.22,5.45,7.77,7.17,6.81,7.09,6.3,7.76,7.95,7.34,6.46,5.75,6.97,7.09,4.34,5.42,5.41
2012,7.78,5.78,5.52,5.53,7.46,6.52,6.75,5.88,6.57,7.1,7.12,4.82,6.21,6.62,6.83,7.4,6.54,5.97,6.35,6.74,7.01,6.05,6.11,6.38,5.42,5.67,6.47,6.63,7.24,8.5,5.83,5.85,4.2,7.61,5.98,5.62,7.07,6.17,6.16,6.56,8.84,6.6,6.14,7.11,8.02,5.79,6.37,6.84,5.94,7.72,5.82,6.37,5.19,6.45,7.02,8.34,6.34,6.37,7.02,7.74,5.43,7.53,5.78
2013,6.41,6.1,7.39,5.65,7.89,7.2,6.91,6.7,7.81,6.82,7.51,6.5,7.25,5.69,6.67,5.93,6.79,5.97,5.31,6.39,7.08,6.5,6.58,6.05,6.86,7.98,6.79,6.55,6.97,7.75,6.69,7.55,5.34,6,6.93,6.4,7.75,6.43,5.87,7.31,7.87,6.87,6.29,6.76,7.19,6.26,7.36,6.52,6.02,7.12,7.4,6.95,5.89,6.4,6.31,8.08,6.74,6.88,7.04,8.68,7.37,7.78,6.41
2014,6.91,6.03,5.47,4.39,7.05,5.38,4.8,5.38,7.2,5.22,6.18,5.36,6.28,4.41,5.85,5.53,6.13,5.77,5.54,5.53,5.93,5.63,5.66,4.9,6,6.42,6.33,5.83,5.48,7.08,5.89,5.79,4.4,5.78,5.53,5.1,6.03,5.04,4.79,5.67,6.38,5.48,5.79,6.36,6.25,5.32,6.05,6.57,5.78,5.69,6.22,5.75,5.51,5.49,6.51,6.34,5.53,5.79,6.04,7.3,6.2,6.61,5.11
2015,5.94,6.05,5.14,5.18,7.14,4.94,4.55,5.85,7.82,5.27,6.05,5.83,6.55,5.32,5.81,5.85,6.14,5.12,5.83,6.28,5.9,6.67,6.01,6.07,5.62,6.35,6.11,5.76,5.26,6.81,6.52,5.67,4.12,5.18,5.15,4.87,6.61,5.18,5.27,5.33,6.43,5.77,6.18,6.26,6.32,5.38,6.47,6.45,5.98,5.86,6.52,5.63,6.26,5.87,7.02,6.48,5.5,5.74,5.97,6.96,5.37,7.01,6.13
