"Category","An Giang","Bac Giang","Bac Kan","Cao Bang","Bac Lieu","Dien Bien","Ha Giang","Bac Ninh","Ben Tre","Hoa Binh","Binh Dinh","Lai Chau","Binh Duong","Lang Son","Binh Phuoc","Lao Cai","Binh Thuan","Phu Tho","BRVT","Son La","Ca Mau","Thai Nguyen","Can Tho","Tuyen Quang","Yen Bai","Da Nang","Dak Lak","Dak Nong","Dong Nai","Dong Thap","Gia Lai","Ha Nam","Ha Noi","Ha Tinh","Hai Duong","Hai Phong","Hau Giang","HCMC","Hung Yen","Khanh Hoa","Kien Giang","Kon Tum","Lam Dong","Long An","Nam Dinh","Nghe An","Ninh Binh","Ninh Thuan","Phu Yen","Quang Binh","Quang Nam","Quang Ngai","Quang Ninh","Quang Tri","Soc Trang","Tay Ninh","Thai Binh","Thanh Hoa","Tien Giang","Tra Vinh","TT-Hue","Vinh Long","Vinh Phuc"
2006,4.55,6.41,6.21,5.1,4.3,3.5,4.52,6.53,5.47,5.16,6.18,1.99,6.52,5.07,4.13,6.46,5.64,5.56,5.56,3.44,3.65,6.64,5.56,3.43,5.12,9.6,4.19,4.11,8.45,6.14,5.06,2.87,5.24,5.1,4.52,5.83,4.67,7.35,3.89,5.08,3.89,3.6,4.19,4.85,4.48,6.53,6.6,5.5,5.44,4.92,5.7,4.94,4.74,6.78,4.16,4.3,5.13,3.73,5.05,5.85,5.79,7.96,6.98
2007,4.94,6.59,4.33,3.73,3.84,2.83,4.29,5.94,5.78,4.79,6.24,1.92,7.75,4.71,3.93,6.24,4.87,5.35,6.31,4.04,5.26,6.49,6.67,4.66,6.7,8.34,4.72,2.36,7.33,6.4,4.17,4.08,5.65,4.98,4.67,4.9,5.43,6.59,4.74,4.53,4.22,3.7,4.3,5.75,4.38,5.27,5.58,5.06,5.96,4.36,5.02,5.03,5.27,5.87,5.91,4.65,5.23,4.02,4.97,5.17,6.67,8.05,7.36
2008,4.9,4.29,3.79,3.26,3.37,1.84,2.83,5.55,6.04,3.99,5.14,2.36,6.76,4.02,3.86,4.63,4.77,3.61,5.33,2.79,5.74,4.94,5.79,4.16,4.75,8.4,4.13,3.02,6.02,6.78,2.98,4.29,4.79,3.29,3.99,3.28,4,5.19,3.72,4.5,2.78,2.7,3.06,5.92,4.02,3.57,5.89,4.1,6.02,3.18,4.85,3.2,4.31,4.37,4.94,3.21,4.21,2.45,4.63,5.3,6.27,7.93,7.37
2009,4.47,3.97,4.29,4.35,3.98,4.29,3.43,5.91,5.17,4.39,5.1,2.82,6.32,4.31,3.99,4.97,5.16,4.02,5.82,3.47,5.07,5.83,4.99,4.45,5.3,7.69,5.35,4.83,5.33,4.59,4.27,5.12,5.6,3.91,4.99,5.09,4.86,6.52,4.45,5.64,4.25,4.91,3.85,4.75,4.69,4.41,4.8,4.46,5.02,4.94,4.64,4.07,5.2,5.27,3.61,5,4.73,4.48,5.34,4.55,5.49,5.1,5.62
2010,5.49,5.36,4.65,5.51,5,5.49,5.14,5.76,4.9,5.29,5.29,4.05,5.91,4.86,5.09,5.71,5.37,4.32,5.73,5.01,4.84,5.13,5.66,5.48,4.97,7.43,5.5,4.72,5.66,5.13,4.79,5.35,6.72,5.48,5.27,5.47,5.04,6.28,2.96,5.46,4.94,5.16,4.05,5.71,5.58,5.35,5.79,5.32,5.83,5.17,4.87,4.66,5.94,5.87,4.41,5.14,5.35,4.96,5.37,5.36,5.55,5.4,5.69
2011,4.01,4.4,4.92,4.95,3.97,5.19,3.95,5.45,4.68,4.75,4.83,4.73,5.44,5.05,4.74,5.22,4.93,4.7,4.98,4.52,4.43,4.99,5.02,4.76,5.11,5.69,4,4.21,5.17,5.11,4.6,4.81,5.32,5,4.44,5.62,4.27,5.77,5.05,5.32,4.28,4.63,3.94,4.83,4.63,4.86,5.48,4.27,4.58,5.14,4.59,4.46,5.8,4.91,4.33,4.51,4.3,5.07,4.73,4.15,5,3.85,4.59
2012,5.21,4.69,4.35,4.44,5.11,4.14,4.28,5.55,5.24,4.51,5.4,4.58,5.48,4.8,4.41,5.2,4.61,4.57,5.51,5.21,4.42,5.48,5.05,4.34,4.37,5.57,5.07,3.6,5.23,4.91,4.4,4.57,6.12,5.32,5.33,5.94,4.58,5.82,4.72,4.97,4.53,4.71,5.01,4.86,5.07,4.85,5.19,5.27,4.2,5.24,4.73,4.63,6,5.16,4.06,5.31,5.82,4.95,4.24,5.01,4.64,5.25,5.33
2013,4.9,5.11,4.9,5.38,4.95,5.11,5.12,6.04,5.4,4.96,5.46,4.92,5.72,5.31,4.77,5.44,4.9,5.05,5.87,4.8,4.48,5.95,5.49,5.18,4.85,6.53,5.35,4.57,5.26,5.22,5.36,5.65,6.24,6.08,5.61,6.33,4.85,6.22,5.63,5.25,5.71,5.43,5.27,5.07,5.36,5.68,6.75,5.16,4.95,5.21,4.67,5.27,6.21,5.29,5.36,5.61,5.75,6.3,5.13,5.37,5.91,5,5.94
2014,4.75,5.92,5.36,5.54,4.51,5.6,4.84,6.73,5.35,6.27,6,4.69,6.48,6.24,4.96,6.63,5.3,5.57,6.9,5.44,4.1,7.32,6.22,6.35,5.06,7.53,6.02,4.21,6.27,5.3,5.32,6.02,7.26,6.63,6.18,7.41,4.54,7.19,6.18,6.55,5.18,5,5.86,5.75,5.88,6.2,7.18,5.19,5.51,5.39,5.67,5.83,7.15,5.62,4.74,5.17,5.7,6.3,4.67,4.73,6.13,4.96,7.05
2015,5.14,5.65,4.8,5.87,4.66,5.56,4.61,6.82,5.51,5.47,6.1,4.91,5.76,5.55,4.93,5.84,5.47,6.02,6.49,4.71,4.45,7.14,5.94,6.28,5.65,7.62,5.58,4.39,5.91,5.71,5.1,5.85,7.36,5.56,6.29,7.33,4.32,6.89,6.72,6.52,5.2,5.69,5.96,5.88,6.23,5.81,6.82,5.67,5.13,5.2,5.76,5.81,7.19,5.93,4.66,5.44,5.78,6.82,5.41,4.14,6.09,5.24,6.65
2016,5.23,5.07,6.44,6.22,4.84,5.66,4.73,7.17,5.89,5.4,6.19,4.78,6.51,5.34,5.66,6.21,5.85,6.6,6.88,4.9,4.46,7.64,6.3,6.33,5.32,7.98,5.8,5.12,6.68,5.66,5.41,6.1,7.88,6.34,6.54,7.42,5.01,7.12,6.45,6.81,5.29,5.93,5.63,5.4,5.93,6.51,7.21,5.61,5.57,5.99,5.68,6.28,6.94,6.2,5.33,5.89,5.74,6.33,5.4,4.61,6.13,5.88,6.36
2017,5.69,6.32,6.09,6.89,5.25,5.7,5.09,7.56,6.45,6.55,6.51,5.46,6.35,6.19,5.6,6.56,6.18,6.9,7.29,5.32,5.09,7.7,6.54,6.72,6.22,8.07,6.14,5.15,6.73,5.93,5.56,6.63,8.09,7.04,6.91,8.17,5.17,7.27,7.16,6.25,5.79,5.57,6.54,6.06,7.31,6.94,7.38,6.19,6.24,6.58,6.52,6.44,7.76,6.23,5.3,6.38,6.47,6.51,6.01,5.3,6.86,6.63,6.68
2018,5.58,6.54,6.61,6.42,5.5,5.65,5.41,7.69,5.71,6.2,6.55,5.58,6.84,6.32,5.16,6.39,6.23,7.04,6.47,5.76,5.28,7.69,6.86,6.34,6.6,7.92,6.21,4.84,6.32,5.86,5.01,6.56,7.8,6.98,6.34,7.81,5.63,6.98,6.57,6.28,6.12,6.4,6.37,6.3,6.63,6.44,7.91,5.69,6.11,6.6,6.59,6.21,7.62,6.27,5.06,5.99,6.87,6.88,6.01,4.7,6.3,6.01,7.18
2019,6.31,7.19,7.05,6.8,6.26,6.6,6.09,7.03,6.07,6.92,6.72,5.88,7.41,6.46,6.54,7.28,6.5,7.15,6.82,5.6,5.68,7.88,7.01,6.83,6.65,7.99,6.75,5.45,6.75,6.56,6.08,6.9,7.91,7.08,7.21,8.24,5.82,7.3,6.8,6.7,5.9,6.6,6.5,6.2,6.87,6.86,7.29,6.23,6.39,6.44,6.67,6.24,7.95,7.17,5.48,6.15,6.68,6.71,6.08,5.45,7.35,6.6,6.87
2020,6.27,6.82,6.45,6.63,5.56,5.42,5.71,6.82,6.32,6.53,6.64,5.94,6.92,6.3,5.88,6.89,5.78,7.12,7.07,5.21,5.76,7.42,6.52,6.98,6.81,7.87,6.2,5.53,6.55,6.73,5.13,6.79,7.85,7.46,7.46,8.11,5.78,7.12,6.51,6.31,5.53,6.35,5.8,6.38,6.78,6.25,7.37,6.06,5.94,6.9,6.55,6.21,8.41,6.99,6.06,6.2,6.56,6.41,5.49,5.24,6.52,6.61,6.94
