"Category","An Giang","Bac Giang","Bac Kan","Cao Bang","Bac Lieu","Dien Bien","Ha Giang","Bac Ninh","Ben Tre","Hoa Binh","Binh Dinh","Lai Chau","Binh Duong","Lang Son","Binh Phuoc","Lao Cai","Binh Thuan","Phu Tho","BRVT","Son La","Ca Mau","Thai Nguyen","Can Tho","Tuyen Quang","Yen Bai","Da Nang","Dak Lak","Dak Nong","Dong Nai","Dong Thap","Gia Lai","Ha Nam","Ha Noi","Ha Tinh","Hai Duong","Hai Phong","Hau Giang","HCMC","Hung Yen","Khanh Hoa","Kien Giang","Kon Tum","Lam Dong","Long An","Nam Dinh","Nghe An","Ninh Binh","Ninh Thuan","Phu Yen","Quang Binh","Quang Nam","Quang Ngai","Quang Ninh","Quang Tri","Soc Trang","Tay Ninh","Thai Binh","Thanh Hoa","Tien Giang","Tra Vinh","TT-Hue","Vinh Long","Vinh Phuc"
2006,3.38,4,6.55,3.07,3.41,2.99,3.04,4.14,3.54,3.62,3.95,4.05,5.46,3.65,2.52,3.52,3.02,3.7,4.73,3.63,3,4.05,3.8,3.5,3.81,6.38,3.74,4.83,3.79,3.2,3.68,3.09,3.39,2.59,3.91,2.98,4.06,3.81,3.52,3.27,3.89,3.74,3.93,3.16,3.37,4.53,3.63,3.47,3.73,3.46,6.31,2.13,4.3,3.32,4.06,5.09,2.92,3.53,3.6,3.63,2.98,4.86,4.03
2007,5.05,4.24,6.57,2.62,3.96,3.69,5.04,5.32,5.54,3.76,4.47,2.44,5.48,3.8,4.76,5.84,4.23,4.36,5.13,3.05,4.64,2.96,5.06,3.41,4.5,5.49,3.65,5.33,4.21,5.07,3.94,3.07,3.66,2.25,3.73,3.31,5.05,3.54,2.95,3.74,6.2,2.94,4.57,5.1,2.96,5.06,5.27,2.5,5.05,3.23,5.08,3.97,5.62,2.99,5.73,4.48,3.16,4.58,6.1,5.17,3.52,5.33,4.31
2008,5.44,3.01,2.76,2.5,4,4.57,4.48,5.2,5.97,2.95,3.39,5.32,6.24,4.04,6.55,5.12,5.6,5.78,5.11,4.59,3.6,4.78,5.08,5.41,5.48,6.55,4.11,4.4,3.81,6.39,6.7,4.18,2.79,2.72,4.73,3.58,5.16,4.07,4.74,3.49,6.54,3.87,5,6.37,4.23,3.69,3.85,4.8,2.64,4.37,5.45,4.11,5.4,5.05,5.23,2.85,4.44,3.34,4.56,6,5.94,5.16,5.5
2009,4.31,4.11,4.39,3.51,5.06,5.4,5.79,5.89,6.07,5.08,5.15,5.27,5.94,3.95,5.57,5.23,5.51,6.11,7.34,5.15,4.43,4.58,5.96,4.45,6.3,5.31,4.47,4.71,5.37,7.04,6.69,4.42,5.26,6.24,5.03,4.6,5.51,5.39,5.36,5.44,5.94,5.81,5.12,5.35,4.04,4.59,4.65,5.93,6.48,4.46,6.78,5.24,5.41,5.52,5.58,5.28,5.31,5.5,4.7,5.35,5.98,5.72,5.78
2010,4.48,4.85,3.51,2.71,5.01,3.76,3.79,5.64,5.55,4.82,4.9,2.66,5.61,2.54,5.48,4.29,5.06,4.66,7.17,5.29,3.39,4.38,6.33,3.96,5.07,6.27,4.57,6.06,5.63,7.17,6.59,4.42,5.1,4.79,4.62,4.6,4.96,5.48,4.09,5.65,6.98,5.08,2.66,4.29,4.59,5.2,5.66,4.06,3.5,4.43,6.16,4.99,5.23,5.22,6.12,5.08,4.61,4.2,4.4,5.19,5.87,5.43,5.29
2011,4.84,4.5,4.18,4.27,3.14,6.28,6.37,6.42,5.29,4.9,6.15,6.68,6.39,5.42,5.88,6.19,6.2,4.96,7,5.27,6.63,4.62,6.26,6.65,6.87,6.35,4.63,4.91,6.47,6.32,5.82,3.96,5.8,5.43,5.23,5.9,5.69,5.89,5.98,6.26,6.34,6.39,5.95,6.53,5.65,5.61,4.13,5.57,3.68,5.02,6.01,6.66,5.1,6.41,6.48,6.2,5.75,6.23,6.87,5.11,4.49,5.29,5.15
2012,3.67,4.02,2,3.76,3.4,3.13,3.7,3.1,3.86,2.92,3.61,3.85,3.07,2.52,3.84,3.17,2.56,2.95,3.5,3.89,4.13,2.71,4.14,3.75,4.11,3.05,3.26,4.39,4.37,4.41,3.2,2.56,2.7,2.46,3.18,4.04,3.3,4.22,3.33,3.11,4.51,3.18,3.85,4.41,4.63,2.45,3.26,4.06,3.66,2.45,4.7,2.92,3.87,3.64,4.55,3.4,3.71,4.42,5.03,2.87,3.79,4.26,3.17
2013,5.33,5.1,3.72,5.5,6.51,4.76,5.35,4.97,5.77,5.46,5.31,6.74,5.49,4.67,5.42,5.73,5.68,5.13,4.24,5.26,5.63,5.25,5,5.55,5.94,6.6,5.68,5.09,4.81,5.68,6.4,6.37,3.92,4.27,6.61,5.78,6.43,4.95,5.83,3.95,6.4,4.33,6.29,5.8,6.08,4.89,6.24,6.65,3.68,6.66,6.29,7.15,4.41,4.66,5.45,6.08,6.9,5.82,7.3,6.41,6.37,5.67,5.49
2014,6.13,5.91,6.12,5.12,7.36,4.1,6.05,5.23,5.98,5.46,5.66,5.3,5.47,4.86,5.18,6.8,5.93,5.31,5.36,5.48,5.4,6.96,6.38,6.57,4.82,6.3,5.35,5.59,5.29,7.91,5.96,5.59,4.66,5.46,5.8,4.33,6.93,4.91,4.82,5.67,7.33,5.89,5.32,7.21,5.68,5.27,5.45,5.74,4.58,5.67,7.07,7.46,5.28,5.16,6.96,5.92,6.31,6.01,5.88,6.4,5.91,6.04,6.03
2015,6.18,4.64,6.04,4.83,7.09,6.13,4.93,5.38,6.33,5.18,5.56,5.79,6.1,5.19,4.83,6.33,4.75,5.85,5.38,5.51,5.35,5.69,6.62,5.83,4.85,6.46,5.83,4.48,5.44,7.44,6.64,5.79,4.64,4.84,5.77,5.15,6.4,5.04,5.87,5.51,7.62,6.23,5.86,6.48,6,5.58,4.52,6.23,4.84,6.04,6.8,7.09,5.93,5.14,5.8,6.51,5.83,5.83,5.91,6.92,5.08,6.13,6.28
