"Category","An Giang","Bac Giang","Bac Kan","Cao Bang","Bac Lieu","Dien Bien","Ha Giang","Bac Ninh","Ben Tre","Hoa Binh","Binh Dinh","Lai Chau","Binh Duong","Lang Son","Binh Phuoc","Lao Cai","Binh Thuan","Phu Tho","BRVT","Son La","Ca Mau","Thai Nguyen","Can Tho","Tuyen Quang","Yen Bai","Da Nang","Dak Lak","Dak Nong","Dong Nai","Dong Thap","Gia Lai","Ha Nam","Ha Noi","Ha Tinh","Hai Duong","Hai Phong","Hau Giang","HCMC","Hung Yen","Khanh Hoa","Kien Giang","Kon Tum","Lam Dong","Long An","Nam Dinh","Nghe An","Ninh Binh","Ninh Thuan","Phu Yen","Quang Binh","Quang Nam","Quang Ngai","Quang Ninh","Quang Tri","Soc Trang","Tay Ninh","Thai Binh","Thanh Hoa","Tien Giang","Tra Vinh","TT-Hue","Vinh Long","Vinh Phuc"
2006,60.45,55.99,48.73,46.63,42.89,42.28,48.49,54.79,53.11,50.17,66.49,36.76,76.23,49.64,46.29,64.11,52.66,54.42,55.95,45.22,43.99,52.71,58.3,47.21,56.85,75.39,51.65,38.91,64.64,58.13,53.06,47.27,50.34,42.35,52.7,49.98,52.61,63.39,55.97,55.33,51.27,41.38,52.25,50.4,48.89,54.43,55.82,45.82,54.93,47.9,56.42,44.2,53.25,52.18,55.34,48.35,50.54,45.3,52.18,56.83,50.53,64.67,61.27
2007,66.47,55.48,46.47,40.18,42.49,41.7,54.59,58.96,62.88,50.18,69.46,38.19,77.2,43.23,50.38,66.95,57.66,55.64,65.63,50.35,56.19,52.02,61.76,52.13,59.73,72.96,51.05,37.96,62.33,64.89,56.16,51.29,56.73,45.56,53.23,53.19,59.41,64.83,57.47,52.42,52.82,44.54,49.85,58.82,51.76,49.76,57.67,47.33,57.87,49.51,62.92,51.39,58.34,51.1,64.68,53.92,55.99,52.82,64.63,56.3,62.44,70.14,66.06
2008,61.12,39.78,47.44,41.02,40.92,36.39,48.18,59.57,62.42,48.35,60.67,43.95,71.76,45.63,53.71,61.22,58.75,52.49,60.51,46.6,58.64,46.03,56.32,52,57.79,72.18,53.33,41.01,59.62,66.64,51.82,55.13,53.74,47.48,54.07,47.68,55.36,60.15,57.53,52.12,52.25,41.94,48.1,63.99,49.52,48.46,56.14,47.82,51.24,44.17,59.97,50.05,54.7,50.72,54.24,45.09,54.27,46.22,57.27,55.17,60.71,66.97,69.37
2009,62.47,47.5,57.5,45.43,52.04,59.32,58.16,65.7,64.09,47.82,65.97,55.55,74.01,52.52,56.15,70.47,64.96,53.3,65.96,53.4,61.96,58.58,62.17,57.92,61.71,75.96,57.37,46.96,63.16,68.54,56.01,56.89,58.18,55.26,58.96,57.57,64.38,63.22,61.31,58.66,63.04,54.28,52.93,64.44,52.6,52.56,58.31,54.91,54.77,55.68,61.08,52.34,60.81,55.32,56.63,59.03,54.58,57.32,65.81,63.22,64.23,67.24,66.65
2010,61.94,58.02,51.49,53.55,58.2,55.12,53.94,64.48,63.11,49.89,60.37,51.77,65.72,50.2,57.24,67.95,58.45,52.47,60.55,49.26,53.57,56.54,62.46,57.9,60.16,69.77,57.2,48.91,59.49,67.22,53.65,52.18,55.73,57.22,57.51,54.64,63.91,59.67,49.77,56.75,58.9,57.01,51.77,67.95,62.74,52.38,62.85,56.61,58.18,55.22,59.34,52.21,64.41,61.61,61.49,57.93,60.04,55.68,59.63,65.8,61.31,63.4,61.73
2011,62.22,52.71,60.79,50.98,57.92,59.96,57.62,67.27,59.9,56.52,58.14,60.36,63.99,54.26,65.87,73.53,57.62,60.31,66.13,54.32,59.43,53.57,62.66,53.67,63.05,66.98,53.46,52.87,64.77,67.06,55.07,51.58,58.28,65.97,58.41,57.07,57.4,61.93,59.29,59.11,59.98,57.1,51.75,67.12,55.48,55.46,61.12,57,55.15,58.16,63.4,62.24,63.25,63.08,62.68,60.43,53.69,60.62,59.58,57.56,60.95,54.1,62.57
2012,63.42,57.08,51,50.55,62.85,45.12,53,62.26,58.35,55.51,63.06,52.47,59.64,56.29,55.82,63.08,54.08,55.54,59.14,58.99,53.76,60.07,60.32,47.81,55.36,61.71,55.94,53.91,62.29,63.79,56.5,51.92,53.4,56.27,56.29,53.58,62.01,61.19,58.01,58.82,62.96,51.39,52.84,60.21,52.23,54.36,58.87,59.76,53.36,55.84,60.27,58.33,59.55,55.91,55.01,51.95,58.37,55.11,57.63,62.75,57.12,62.97,55.15
2013,59.07,54.79,53.53,52.3,59.89,56.23,55.04,61.07,62.78,52.15,59.37,55.78,58.15,52.76,57.47,59.43,59.09,53.91,56.99,53.86,53.8,58.96,61.46,48.98,52.67,66.45,57.13,54.68,56.93,63.35,57.96,57.81,57.67,55.88,56.37,59.76,59.29,61.19,53.91,57.49,63.55,56.04,57.22,59.36,56.31,55.83,58.71,54.22,54.48,58.25,58.76,62.6,63.51,53.13,58.97,61.15,59.1,61.59,57.19,60.87,65.56,59.73,58.86
2014,58.1,57.33,53.02,52.04,59.5,50.32,52.47,60.92,59.7,56.57,59.72,50.6,58.82,55.05,57.79,64.67,59.16,57.72,59.05,55.28,53.22,61.25,59.94,55.2,54.77,66.87,58.76,53.9,57.26,65.28,56.16,56.57,58.89,58.19,58.63,58.25,58.91,62.73,55.14,59.78,61.1,54.66,58.79,61.37,58.52,58.82,60.75,56.88,56.44,56.5,59.97,59.55,62.16,55.07,58.13,59.62,57.37,60.33,55.11,58.58,59.98,59.54,61.81
2015,57.61,57.61,53.2,54.44,58.44,56.48,50.45,59.91,60.1,57.13,59.23,52.77,58.89,54.61,56.41,62.32,58.83,58.37,59.51,57.21,54.4,61.21,59.81,56.81,56.64,68.34,59,48.96,57.79,66.39,56.83,58.49,59,57.2,58.37,58.65,58.33,61.36,55.1,58.69,60.31,56.55,59.04,60.86,59.62,58.47,58.51,57.45,56.15,56.71,61.06,59.7,65.75,57.32,59.04,59.66,57.64,60.74,56.74,57.55,58.52,59.49,62.56
