"Category","An Giang","Bac Giang","Bac Kan","Cao Bang","Bac Lieu","Dien Bien","Ha Giang","Bac Ninh","Ben Tre","Hoa Binh","Binh Dinh","Lai Chau","Binh Duong","Lang Son","Binh Phuoc","Lao Cai","Binh Thuan","Phu Tho","BRVT","Son La","Ca Mau","Thai Nguyen","Can Tho","Tuyen Quang","Yen Bai","Da Nang","Dak Lak","Dak Nong","Dong Nai","Dong Thap","Gia Lai","Ha Nam","Ha Noi","Ha Tinh","Hai Duong","Hai Phong","Hau Giang","HCMC","Hung Yen","Khanh Hoa","Kien Giang","Kon Tum","Lam Dong","Long An","Nam Dinh","Nghe An","Ninh Binh","Ninh Thuan","Phu Yen","Quang Binh","Quang Nam","Quang Ngai","Quang Ninh","Quang Tri","Soc Trang","Tay Ninh","Thai Binh","Thanh Hoa","Tien Giang","Tra Vinh","TT-Hue","Vinh Long","Vinh Phuc"
2006,7.59,4.89,4.02,4.38,4.17,3.24,4.92,5.75,6.38,4.61,6.64,4.32,9.08,3.3,4.72,6.59,4.47,4.59,5.46,4.37,4.1,3.53,3.52,4.57,6.38,6.38,5.87,4.15,6,6.06,4.91,4.79,4.23,3.09,5.84,3.76,6.79,6.18,5.82,5.11,5.6,3.43,3.82,5.59,5.16,4.69,5.64,2.6,5.09,3.55,6.61,2.36,6.03,4.26,7.31,4.11,4.81,3.11,5.31,6.31,4.63,5.1,7.74
2007,7.71,5.19,4.3,2.3,3.37,3.16,5.5,5.91,6.07,3.67,7.22,5.17,9.2,2.36,4.56,6.9,4.32,4.86,5.74,4.29,4.67,3.75,4.57,4.24,5.52,6.26,3.3,3.49,6.03,5.99,5.86,4.29,5.19,3.37,4.64,3.23,7.12,6,5.25,3.63,4.17,3.25,3.87,5.76,4.28,2.84,5.8,3.04,5.03,4.06,6.89,3.82,5.1,3.42,7.11,4.74,5.09,4.32,6.76,6.78,5.88,6.71,7.32
2008,7.63,2.32,4.89,3.57,3.35,2.51,5.82,6.6,6.92,5.25,7.11,5.53,8.45,2.95,5.22,7.81,6.27,5.6,6.09,3.72,6.28,4.02,4.56,3.93,6.6,7.4,6.34,5.05,5.89,7.52,5.71,6,4.7,5.12,5.07,4.43,6.95,6.64,6.61,4.83,5.91,3.42,4.63,6.95,4.11,4.51,6.04,3.74,4.01,3.25,7.14,4.91,6.06,4.85,6.45,4.27,5.93,4.83,5.64,4.95,6.03,6.94,8.23
2009,7.21,3.38,4.77,1.87,3.33,5.9,6.87,5.04,6.28,4.55,6.91,5.73,9.39,3.55,5.66,8.78,4.44,3.41,5.58,4.46,5.48,3.84,3.98,5.36,6.07,7.7,3.94,2.66,4.91,6.76,5.48,4.17,3.45,3.43,4.51,2.84,8.03,5.22,5.66,3.95,5.62,2.6,3.58,6.33,2.57,3.32,5.62,2.97,3.23,2.88,5.57,3.27,5.9,3.3,6.24,4.56,3.44,3.78,7.43,7.54,6.05,7.24,7.97
2010,6.99,5.5,4.56,4.66,6.1,5.48,6.79,7.09,6.68,4.39,5.32,5.7,7.69,3.62,5.89,6.94,5.05,3.96,6.03,3.92,3.99,4.78,5.18,5.98,5.5,7.42,4.93,5.38,5.26,7.38,3.12,4.08,3.2,5.42,5.06,2.66,6.74,4.43,3.27,3.37,5.86,3.44,5.7,6.94,5.55,4.16,5.49,4.24,5.42,4.31,5.17,3.05,6.42,4.56,6.91,5.39,5.01,4.42,6.27,7.75,5.23,6,8.08
2011,6.72,3.25,4.84,3.75,5.07,4.66,6.5,7.74,4.87,4.38,3.75,4.04,4.7,3.56,6.69,9.38,3.15,5.61,7.14,5.05,3.55,1.55,4.96,3.6,6.01,7.2,2.39,4.76,5.86,8.14,4.95,3.71,3.53,6.32,4.85,3.71,5.87,3.78,4.68,4.57,4.6,3.11,1.39,5.98,2.53,4.47,5.89,4.27,4.41,4.17,5.76,3.54,5.94,4.48,5.48,5.77,2.27,4.65,1.93,3.62,5.29,3.96,6.39
2012,6.42,4.84,4.07,3.4,6.48,4.13,4.44,6.62,6.59,5.07,6.17,4.47,5.16,4.57,4.4,6.77,5.13,4.63,6.11,5.27,3.72,4.4,4.97,3.71,4.53,5.71,3.59,5.56,5.89,7.17,6.22,4.14,2.32,5.1,4.25,2.41,6.29,4.24,5.75,5.43,6.34,1.94,3.06,6.61,1.39,3.16,6.39,5.22,3.91,2.61,4.02,5.2,5.74,4.8,4.85,3.16,4,4.17,6.6,6.73,5.23,6.91,2.93
2013,7.59,4.96,6.11,4.47,6.75,5.37,5.48,5.47,6.24,4.19,5.21,6.58,6.23,3.12,6.02,5.63,6.51,3.93,4.4,4.26,4.6,5.08,6.46,4.34,6.34,7.72,4.82,4.46,5.25,6.34,5.68,5.92,3.69,4.75,4.9,5.48,8.06,4.65,4.07,5.36,6.29,4.36,5.88,6.07,3.56,6.05,5.16,4.28,5.38,6.34,6.14,6.62,7.11,4.4,6.52,6.46,5.78,5.58,5.61,7.52,6.61,5.72,5.38
2014,5.12,4.74,4.38,3.86,5.2,3.14,5.01,5.26,5.85,4.66,4.2,3.81,4.32,4.14,5.07,5.51,4.69,3.9,4.29,3.79,3.62,4.29,4.03,4.59,4.2,5.91,3.18,4.44,4.22,6.62,3.97,5.06,3.08,4.56,4.3,3.59,5.18,3.92,4.51,4.89,5.1,3.75,3.96,4.92,4.38,4.4,5.09,4.73,3.53,4.78,4.78,3.6,4.83,4.86,6.41,5.43,5.46,5.58,4.13,4.84,3.8,5.18,5.16
2015,4.47,4.71,4.24,3.92,5.97,4.39,3.49,5.07,4.88,4.32,4.87,5.56,5.58,3.32,4.62,6,4.46,4.63,4.38,4.61,4.72,5.09,4.32,4.73,4.5,6.17,4.21,4.07,4.02,7.04,4.37,5.22,3.86,4.85,4.75,3.97,5.99,4.19,4.2,4.13,5.78,3.51,4.21,5.48,4.82,4.48,4.7,4.01,4.58,3.66,5.13,3.97,5.31,4.31,5.17,4.87,4.36,4.32,4.53,5.01,4.29,4.91,5.78
2016,5.4,4.29,4.67,3.41,5.43,4.12,4.5,5.32,4.94,4.36,5.45,4.77,5.67,4.78,4.21,6.39,4.23,4.65,4.16,4.7,4.8,5.32,4.68,4.75,5.49,7.06,5.04,3.86,4.19,6.26,4.2,5.43,3.84,5.29,5.24,4.4,5.18,4.17,5,4.34,5.06,4.43,4.98,5.69,5.01,5,4.53,4.96,4.15,4.96,5.55,4.04,5.7,5.01,5.72,5.46,5,4.65,4.08,4.89,3.88,5.33,5.46
2017,6.44,6.05,4.15,3.63,6.04,4.69,5.32,5.81,7.01,5.22,6.3,5.15,6.04,4.5,5.34,6.8,5.34,5.35,5.45,4.75,5.21,6.05,6.11,5.1,5.21,6.65,5.38,4.73,5.71,6.96,4.92,6.11,4.1,5.73,4.93,5.22,6.68,5.26,4.5,5.16,4.56,5.18,5.67,7.07,4.47,5.14,6.36,5.87,4.8,5.65,6.63,5.25,6.41,5.08,5.22,5.67,5.44,5.57,5.58,5.84,5.81,6.15,5.97
2018,6.22,5.55,4.88,4.2,5.36,4.74,5.36,5.99,6.84,5.4,5.48,6.21,6.85,5.51,4.23,6.67,5.66,5.24,5.49,5.18,5.24,6.26,5.58,5.54,5.25,5.96,5.25,5.79,5.43,7.81,5.97,6.22,5.13,4.59,5.96,5.46,5.96,5.45,6.19,5.83,5.7,4.89,5.7,6.41,6.51,5.6,5.55,5.38,5.17,5.3,6.23,5.33,6.23,6.08,7.25,5.37,5.56,5.88,5.49,5.46,5.34,6.4,6.01
2019,6.88,6.98,5.77,5.26,6.25,5.6,6.08,7.34,7.48,6.09,6.84,6.79,6.56,6.26,5.39,7.03,6.52,6.93,6.02,6.8,5.64,6.55,6.51,6.17,6.23,6.76,5.62,5.54,5.92,8.37,5.56,6.75,5.96,6.71,6.03,6.07,7.15,5.57,5.95,5.94,6.15,5.79,6.24,7.4,6.05,5.79,6.25,6.56,5.5,6.39,7.32,5.9,7.96,5.84,6.86,6.56,6.88,5.94,6.32,6.73,6.61,6.71,6.39
2020,6.47,6.75,5.25,5.5,5.83,6.42,6.51,6.55,7.02,5.56,6.54,6.56,7.09,5.72,6.28,6.3,6.16,6.76,6.03,6.52,5.19,7.39,6.34,5.72,6.49,6.37,6.22,5.56,6.23,8.22,7.17,7.08,6.06,5.62,5.09,6.91,7.75,6.07,6.99,5.75,5.48,5.73,6.14,7.57,5.92,6.31,6.1,6.85,6.82,5.19,7.36,6.09,7.33,5.86,6.98,7.06,6.43,5.42,5.82,6.81,6.52,6.9,6.59
