"","Year","","","","","","","","","",""
"Host Country","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
" Brunei Darussalam","625.4","1 208.3","864.8","725.5","568.2","171.3","-150.4","460.1","517.3","374.6","577.4"
" Cambodia","782.6","891.7","1 557.1","1 274.9","1 726.5","1 701.0","2 475.9","2 788.1","3 212.6","3 663.0","3 624.6"
" Indonesia","13 770.2","19 241.6","19 137.9","18 443.8","21 810.4","16 642.1","3 920.7","20 579.2","20 563.5","23 883.3","18 310.0"
" Lao PDR","332.6","466.8","294.4","426.7","913.2","1 079.2","1 075.7","1 695.4","1 358.0","755.5","967.7"
" Malaysia","9 155.9","12 000.9","9 400.0","12 107.1","10 875.3","10 180.0","11 290.3","9 295.8","7 611.3","7 859.7","3 511.8"
" Myanmar","2 248.8","2 058.2","1 354.2","2 620.9","946.2","2 824.5","2 989.5","4 002.4","1 609.8","1 729.9","2 205.6"
" Philippines","1 298.0","1 815.9","2 797.0","3 859.8","5 814.6","5 639.2","8 279.5","10 256.4","9 948.6","8 671.4","6 585.6"
" Singapore","57 460.6","39 886.6","60 101.9","56 670.9","73 284.5","59 702.3","70 223.5","84 685.1","75 954.1","114 158.4","90 597.7"
" Thailand","14 746.7","2 473.7","12 899.0","15 936.0","4 975.5","8 927.7","3 486.3","8 285.2","13 190.9","4 790.4","-4 848.9"
" Viet Nam","8 000.0","7 519.0","8 368.0","8 900.0","9 200.1","11 800.0","12 600.0","14 100.0","15 500.0","16 120.0","15 800.0"
"Grand Total","108 420.7","87 562.8","116 774.3","120 965.5","130 114.5","118 667.2","116 190.9","156 147.7","149 466.0","182 006.2","137 331.5"
